id;name;type;lat;lng
330001;HOSPICJUM ONKOLOGICZNE;--;52.144100;21.038230
330002;HOSPICJUM ONKOLOGICZNE;--;52.144300;21.038280
330101;MALINOWSKIEGO;--;52.149840;21.038180
330102;MALINOWSKIEGO;--;52.150230;21.037590
330401;BOROWA;KJ;52.106213;21.113236
330402;BOROWA;KJ;52.105875;21.113663
330501;OGRÓD BOTANICZNY;--;52.105090;21.098670
330502;OGRÓD BOTANICZNY;--;52.104900;21.098000
330503;OGRÓD BOTANICZNY;--;52.104990;21.092720
330601;KOŁOBRZESKA;KJ;52.084680;21.087590
330602;KOŁOBRZESKA;KJ;52.084840;21.089110
330603;KOŁOBRZESKA;KJ;52.085020;21.087920
330702;LIPOWA;GL;52.039390;20.945780
330801;SIEKIERKI-SANKTUARIUM;--;52.206660;21.082960
330802;SIEKIERKI-SANKTUARIUM;--;52.206730;21.083620
330803;SIEKIERKI-SANKTUARIUM;--;52.208350;21.083070
330901;KARCZOCHA;--;52.173710;21.049870
330902;KARCZOCHA;--;52.174340;21.048420
331101;WILANÓWKA;OK;52.126020;21.140770
331102;WILANÓWKA;OK;52.125940;21.141990
331201;KĘPA OKRZEWSKA;KE;52.131990;21.149840
331202;KĘPA OKRZEWSKA;KE;52.131260;21.148580
331301;KĘPA OKRZEWSKA-CMENTARZ;KE;52.135000;21.153020
331401;OS.KONSTANCJA;BI;52.109103;21.112859
331402;OS.KONSTANCJA;BI;52.110386;21.112683
331501;WCZASOWA;KJ;52.105850;21.106200
331502;WCZASOWA;KJ;52.105780;21.105640
331701;TUZINOWA;--;52.185350;21.098310
331702;TUZINOWA;--;52.184620;21.098700
331801;SPIRALNA;--;52.185830;21.094450
331802;SPIRALNA;--;52.186590;21.095680
331901;ŁUCZNICZA;--;52.181680;21.089820
331902;ŁUCZNICZA;--;52.181420;21.089260
332001;WOJSKA POLSKIEGO;PS;52.075010;21.021770
332002;WOJSKA POLSKIEGO;PS;52.074990;21.023000
332003;WOJSKA POLSKIEGO;PS;52.074608;21.022439
332101;JARZĄBKA;PS;52.073810;21.015430
332102;JARZĄBKA;PS;52.074357;21.014317
332202;POWSTAŃCÓW WARSZAWY;PS;52.074560;21.017710
332301;MAŁE SIEKIERKI;--;52.203060;21.066620
332302;MAŁE SIEKIERKI;--;52.202900;21.070360
332401;OGRODY DZIAŁKOWE CZERNIAKÓW;--;52.202020;21.060130
332402;OGRODY DZIAŁKOWE CZERNIAKÓW;--;52.201700;21.061050
332501;BEETHOVENA;--;52.194500;21.048950
332502;BEETHOVENA;--;52.196000;21.050890
332504;BEETHOVENA;--;52.195430;21.048680
332601;DO FORTU;--;52.197320;20.989388
332602;DO FORTU;--;52.197912;20.987353
332701;CM.POŁUDNIOWY-BRAMA PŁD.;AN;52.056420;20.897930
332801;CM.POŁUDNIOWY-BRAMA WSCH.;AN;52.057420;20.905430
332802;CM.POŁUDNIOWY-BRAMA WSCH.;AN;52.057260;20.905110
332901;KULESZÓWKA;KK;52.059860;20.911550
332902;KULESZÓWKA;KK;52.060130;20.910420
333001;ORZECHOWA;WŁ;52.054910;20.924500
333002;ORZECHOWA;WŁ;52.054840;20.924700
333101;RYBNA;WŁ;52.048710;20.932310
333102;RYBNA;WŁ;52.049910;20.931250
333201;ŻWIROWA;BR;52.068410;20.961420
333202;ŻWIROWA;BR;52.068050;20.959350
333301;PILECKIEGO;--;52.140810;21.037690
333304;PILECKIEGO;--;52.141530;21.038910
333401;OS.PATIO;--;52.127140;21.096330
333402;OS.PATIO;--;52.128200;21.097350
333501;POMORSKA;PS;52.063150;21.015690
333502;POMORSKA;PS;52.062970;21.015650
